,ID,Year,State,region,domestic,commercial,industrial_low_volt,industrial_high_volt,public_lighting,traction,agriculture,public_water_works,miscellaneous,total_energy_sold
101,919,2014-15,Puducherry,SR,635.58,180.1,141.2,1366.38,26,0,67,56.34,81.650000000000,2554.25
102,920,2014-15,Lakshadweep,SR,31.947543535620,10.939649076517,0.4710290237467,0,1.2717783641160,0,0,0,0,44.63
103,921,2014-15,Bihar,ER,4033.87,973.53,306.17,1888.4,21.72,545.5,313.22,65.349999999999,1999.61,10147.37
104,922,2014-15,Jharkhand,ER,3502.1,432.7556,167.37,16582.9606,192.71,1116.2644,89.03,67.78,0,22150.9706
105,923,2014-15,Odisha,ER,5548.8600000000,1319.5,334.04,30244.63,80.87,1031.48,215.8,124.54,689.62,39589.34
106,887,2017-18,Odisha,ER,6825.2607699999,1675.371633,372.764996,34366.123623,99.662249,1162.317,429.34169999999,125.560871,862.10337599999,45918.506218
107,886,2017-18,Jharkhand,ER,5435.3853753794,700.3375102776,271.23724755571,16741.12824395,133.74367556735,1219.33,202.44257066989,0,85.2,24788.8046234
108,885,2017-18,Bihar,ER,9084.6810658600,1742.03187326,510.25,2602.51972072,57.55313357,700.02,479.84389656,107.39433426,3768.97097,19053.26499423
109,884,2017-18,Lakshadweep,SR,35.898305,11.436854,0.426305,0,0.648178,0,0,0,0.0926749999999,48.502317000000
110,883,2017-18,Puducherry,SR,713.28,206.343,177.22,1441.5747566732,27.52,0,57.28,0,35.69,2658.9077566732
111,882,2017-18,Tamil Nadu,SR,25815.333,9915.9850000000,8984.8325,32482.401609925,1123.734,858.61,11257.43,1123.734,2953.109,94515.169109925
112,881,2017-18,Kerala,SR,10636.437452,4570.861283,1223.681396,3988.3652232699,377.35745,265.16,372.269168,0.15817,729.148748,22163.438890269
113,880,2017-18,Karnataka,SR,12503.77711835,6389.364611,1852.424392,24021.509944850,1023.612945,181.222888,21377.161213,3251.700067,874.17517900000,71474.948358200
114,888,2017-18,West Bengal,ER,14924.14,6080.4337288,2176.63522,20213.79913204,592.38,1401.55,1250.42,892.05999999999,2737.6267912,50269.04487204
115,889,2017-18,Sikkim,ER,98.720322999999,38.383267,2,176.867277,0.134808,0,0,0,27.566195,343.67187
116,897,2017-18,Tripura,NER,508.64646,84.240217,21.672929,26.620658,45.27728,0,38.506632,87.94835,115.098745,928.01127100000
117,896,2017-18,Nagaland,NER,378.21,88.12,65.56,0,14.84,0,0,9.3599999999999,107.63,663.72
118,895,2017-18,Mizoram,NER,235.136667,48.119438,2.187381,11.151565,2.208549,0,0,41.57504,55.388341,395.766981
119,894,2017-18,Meghalaya,NER,455.1734915,95.36560754,5.3150328,602.01902547000,0.43320946,0,0.120825,36.04979214,90.733332,1285.21031591
120,893,2017-18,Manipur,NER,354.74,47.33,19.26,9.0399999999999,3.67,0,2.12,21.07,106.77,564
121,892,2017-18,Assam,NER,3804.23,1035.36,96.19,2420.8461392,12.72,0,34.72,70.959999999999,633.76,8108.7861392
122,891,2017-18,Arunachal Pradesh,NER,171.540413384,53.552346,4.7487841,126.341764,11.93948808,2.12,0.04116086,0,66.694786600000,436.978743024
123,890,2017-18,A & N Islands,ER,141.665644,58.735606,17.62488,0,7.797471,0,1.17914,0,38.675313,265.678054
124,879,2017-18,Telangana,SR,10710.395631700,5340.1219336490,1199.1293783729,13149.374361474,457.53885134464,467.1,19984.614443474,545.86422831724,1985.0904131406,53839.229241474
125,878,2017-18,Andhra Pradesh,SR,13372.737253,3384.798032,4729.97246402,18075.195708312,500.541429,1923.572748,12589.198574625,472.26544700000,1026.895443,56075.177098957
126,862,2017-18,Chandigarh,NR,731.24,483.7,131.93,124.079728,17.82,0,1.43,(B),84.959999999999,1575.159728
127,863,2017-18,Delhi,NR,14911.541989524,8118.3567717809,3188.283853748,45.717348908,433.85814506,687.48498698699,33.174440447,389.867961927,681.64686396878,28489.932362350
128,864,2017-18,Haryana,NR,8743.6937940000,4266.358675,1914.500204,13951.36489319,226.920134,225.64,10067.344941,914.55678250000,1196.449252,41506.82867569
129,865,2017-18,Himachal Pradesh,NR,1989.9,567.086,200.783,4751.60803776,11.29,0,62.182,605.093,353.265,8541.2070377600
130,866,2017-18,Jammu & Kashmir,NR,3442.8,1081.1,528.19999999999,1177.599885011,53.2,14.67,314.45,624.15,1162.8,8398.9698850109
131,867,2017-18,Punjab,NR,13641.73,3889.01,3391.75,14830.8479002,193.75,240.42,12294.649392225,494.24,703.05,49679.447292425
132,868,2017-18,Rajasthan,NR,11998.334212,4576.579774,3054.069,17421.830759271,347.651,388.36,22833.451,1896.533,675.797,63192.605745271
133,869,2017-18,Uttar Pradesh,NR,38292.309624,6237.60068,4318.1781,24755.976505931,1039.59754,1723.35,17742.15438,2070.3511456,4522.6727900000,100702.19076553
134,870,2017-18,Uttarakhand,NR,2741.53102,1232.479631,302.216388,7194.6146811220,57.313921,29.2,437.075577,367.225345,185.202,12546.858563122
135,877,2017-18,Goa,WR,938.73,386.03,167.07,2063.203708,37.3,0,29.94,0,48.97,3671.243708
136,876,2017-18,D & N Haveli,WR,112.64,32.72,208.24,5323.748367,7.97,0,6.5,5.45,3.39,5700.6583670000
137,875,2017-18,Daman & Diu,WR,120.75,55.93,195.03,1980.11,9.4700000000000,0,4.73,3.49,9.7799999999999,2379.29
138,874,2017-18,Maharashtra,WR,27946.84225114,13742.339889843,9555.5982300000,36921.126991000,1900.990605,2500.384802,30306.898186,2770.100056,6579.278757,132223.55976798
139,873,2017-18,Madhya Pradesh,WR,12054.257808531,2920.5288210582,1250.1105731048,13289.6560336,416.20054338302,1821.72,18473.175455099,1515.7526900163,5143.9759323352,56885.377857129
140,872,2017-18,Gujarat,WR,14648.252839,3109.286218,16406.838353,63956.625995999,321.842345,695.01,13731.763245,2090.944201,2596.495852,117557.05904899
141,871,2017-18,Chhattisgarh,WR,5025.078843,1489.455387,526.15625,23298.223278819,100.609373,925.42902,4831.246324,338.102989,45.349989,36579.65145382
142,836,2018-19,Gujarat,WR,15537.746977,4157.8539999369,16224.396593063,54922.678077000,312.097905,743.05,14598.347701875,2207.788654,1457.341525,110161.30143287
143,837,2018-19,Madhya Pradesh,WR,13385.403940787,3141.3003596900,1281.2083462979,22072.514435,419.23923768451,1951.48,20283.797451752,1572.6753957167,5126.5492103053,69234.168377235
